"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R14","RS-1005","30.988mm","29.452mm","30.988mm","29.452mm","30.538mm","29.452mm","B","360.00","470"
"R15","RS-1005","30.988mm","28.194mm","30.988mm","28.194mm","30.538mm","28.194mm","B","360.00","4.7K"
"R16","RS-1005","21.5125mm","25.781mm","21.5125mm","25.781mm","21.0625mm","25.781mm","T","360.00","10M"
"R31","RS-1005","9.779mm","22.86mm","9.779mm","22.86mm","9.779mm","22.41mm","B","90.00","10K"
"R32","RS-1005","11.049mm","22.86mm","11.049mm","22.86mm","11.049mm","23.31mm","B","270.00","10K"
"R35","RS-1005","5.207mm","6.35mm","5.207mm","6.35mm","5.207mm","5.9mm","T","90.00","10K"
"R36","RS-1005","6.985mm","6.35mm","6.985mm","6.35mm","6.985mm","5.9mm","T","90.00","10K"
"R39","RS-1005","25.781mm","20.828mm","25.781mm","20.828mm","25.781mm","21.278mm","T","270.00","8.56K"
"R41","RS-1005","36.068mm","24.13mm","36.068mm","24.13mm","36.068mm","24.58mm","T","270.00","10K"
"TP3","TP-SMD(1.0)","28.194mm","15.24mm","28.194mm","15.24mm","28.194mm","15.24mm","T","360.00","1V"
"TP7","TP-SMD(1.0)","50.8mm","18.288mm","50.8mm","18.288mm","50.8mm","18.288mm","T","90.00","TP"
"U1","QFN-40_5X5","17.272mm","22.86mm","17.272mm","22.86mm","14.7726mm","24.6601mm","T","270.00","RTL8213B"
"Y1","SX-32","23.5626mm","28.702mm","23.5626mm","28.702mm","22.8126mm","29.802mm","T","90.00","25MHz-S20P-SX32"
"C35","CS-1005","16.891mm","43.053mm","16.891mm","43.053mm","16.891mm","43.503mm","T","270.00","10nF"
"C36","CS-1005","15.621mm","43.053mm","15.621mm","43.053mm","15.621mm","43.503mm","T","270.00","10nF"
"C37","CS-1005","9.2806mm","39.497mm","9.2806mm","39.497mm","9.2806mm","39.947mm","B","270.00","10nF"
"C38","CS-1005","8.001mm","39.497mm","8.001mm","39.497mm","8.001mm","39.947mm","B","270.00","10nF"
"R43","RS-1005","8.001mm","32.385mm","8.001mm","32.385mm","8.001mm","32.835mm","B","270.00","75"
"R44","RS-1005","9.271mm","32.385mm","9.271mm","32.385mm","9.271mm","32.835mm","B","270.00","75"
"R45","RS-1005","15.621mm","32.512mm","15.621mm","32.512mm","15.621mm","32.962mm","B","270.00","75"
"R46","RS-1005","16.891mm","32.512mm","16.891mm","32.512mm","16.891mm","32.962mm","B","270.00","75"
"C39","CS-1005","27.432mm","42.672mm","27.432mm","42.672mm","27.432mm","42.222mm","T","90.00","10nF"
"C40","CS-1005","28.702mm","42.672mm","28.702mm","42.672mm","28.702mm","42.222mm","T","90.00","0.1uF"
"C41","CS-3216","54.991mm","40.132mm","54.991mm","40.132mm","54.991mm","41.732mm","T","270.00","4.7uF/100V"
"D2","MB2S","17.091mm","42.9269mm","17.164mm","42.926mm","13.991mm","41.6568mm","B","90.00","MB6S"
"D3","MB2S","13.918mm","37.2118mm","13.991mm","37.211mm","10.818mm","35.9419mm","B","90.00","MB6S"
"D4","MB2S","62.938mm","35.2146mm","62.865mm","35.2137mm","66.038mm","33.9446mm","T","90.00","MB6S"
"R47","RS-1005","30.607mm","43.3411mm","30.607mm","43.3411mm","31.057mm","43.3411mm","T","180.00","24.9"
"R48","RS-1005","30.607mm","42.071mm","30.607mm","42.071mm","31.057mm","42.071mm","T","180.00","63.4"
"R49","RS-1005","45.974mm","31.623mm","45.974mm","31.623mm","45.974mm","31.173mm","T","90.00","4.7K"
"U8","SOIC-8E","36.336mm","42.706mm","36.322mm","42.672mm","33.542mm","44.611mm","T","270.00","TPS2379DDAR"
"C42","CS-1005","66.623mm","8.6697mm","66.623mm","8.6697mm","66.623mm","8.2197mm","T","90.00","33nF"
"C43","CS-1005","52.832mm","24.511mm","52.832mm","24.511mm","52.382mm","24.511mm","T","360.00","33nF"
"R50","RS-1005","67.385mm","14.2577mm","67.385mm","14.2577mm","67.385mm","14.7077mm","B","270.00","0"
"R65","RS-1005","65.353mm","8.6697mm","65.353mm","8.6697mm","65.353mm","9.1197mm","T","270.00","10K_1%"
"R66","RS-1005","67.893mm","8.6697mm","67.893mm","8.6697mm","67.893mm","8.2197mm","T","90.00","6K_1%"
"R67","RS-1005","52.832mm","25.781mm","52.832mm","25.781mm","53.282mm","25.781mm","T","180.00","10K_1%"
"R68","RS-1005","52.832mm","27.051mm","52.832mm","27.051mm","52.382mm","27.051mm","T","360.00","1.5K_1%"
"Q2","SOT-23","7.6251mm","27.0975mm","7.62mm","27.1051mm","8.5788mm","25.9507mm","B","90.00","MMBT6427/SOT-23"
"R69","RS-1005","38.1mm","25.146mm","38.1mm","25.146mm","37.65mm","25.146mm","T","360.00","1K"
"R70","RS-1005","48.514mm","31.623mm","48.514mm","31.623mm","48.514mm","31.173mm","T","90.00","4.7K"

